Time,ROOM_1_A16AB98E:CANBERRA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ROOM_1_A16AB98E:CANBERRA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_1_A16AB98E:CANBERRA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_1_A16AB98E:CANBERRA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_1_A16AB98E::Des Latent Heat Load [W],ROOM_1_A16AB98E::Des Latent Cool Load [W],ROOM_1_A16AB98E::Des Latent Heat Mass Flow [kg/s],ROOM_1_A16AB98E::Des Latent Cool Mass Flow [kg/s],ROOM_1_A16AB98E::Des Heat Load No DOAS [W],ROOM_1_A16AB98E::Des Sens Cool Load No DOAS [W],ROOM_1_A16AB98E::Des Latent Heat Load No DOAS [W],ROOM_1_A16AB98E::Des Latent Cool Load No DOAS [W],ROOM_1_A16AB98E:CANBERRA ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],ROOM_1_A16AB98E:CANBERRA ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ROOM_1_A16AB98E:CANBERRA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ROOM_1_A16AB98E:CANBERRA ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,0.000000E+00,5.877336E+04,0.000000E+00,2.742131E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.500000E+01,2.265795E+01,3.500000E+01,2.265795E+01
00:20:00,0.000000E+00,5.872631E+04,0.000000E+00,2.739936E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.500000E+01,2.265795E+01,3.500000E+01,2.265795E+01
00:30:00,0.000000E+00,5.868009E+04,0.000000E+00,2.737779E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.500000E+01,2.265795E+01,3.500000E+01,2.265795E+01
00:40:00,0.000000E+00,5.863468E+04,0.000000E+00,2.735660E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.500000E+01,2.265795E+01,3.500000E+01,2.265795E+01
00:50:00,0.000000E+00,5.859005E+04,0.000000E+00,2.733578E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.500000E+01,2.265795E+01,3.500000E+01,2.265795E+01
01:00:00,0.000000E+00,5.854623E+04,0.000000E+00,2.731534E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.500000E+01,2.265795E+01,3.500000E+01,2.265795E+01
01:10:00,0.000000E+00,5.853226E+04,0.000000E+00,2.730882E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.500000E+01,2.265795E+01,3.500000E+01,2.265795E+01
01:20:00,0.000000E+00,5.851888E+04,0.000000E+00,2.730258E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.500000E+01,2.265795E+01,3.500000E+01,2.265795E+01
01:30:00,0.000000E+00,5.850607E+04,0.000000E+00,2.729660E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.500000E+01,2.265795E+01,3.500000E+01,2.265795E+01
01:40:00,0.000000E+00,5.849384E+04,0.000000E+00,2.729089E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.500000E+01,2.265795E+01,3.500000E+01,2.265795E+01
